frame,inconsistencia
0,0.044118408
1,0.23286545
2,0.091632605
3,0.08514428
4,0.084187664
5,0.077603444
6,0.085933514
7,0.089504205
8,0.108031556
9,0.08564379
10,0.08876476
11,0.10300084
12,0.13380043
13,0.6218882
14,0.27618626
15,0.26876357
16,0.42957208
17,0.55838895
18,4.849573
19,2.6803803
20,1.3845952
21,1.1605785
22,6.6290135
23,2.5712085
24,2.5134213
25,1.0649862
26,0.95007837
27,1.6065937
28,2.7918952
29,1.3554586
30,1.3411238
31,6.3265944
32,2.7171636
33,2.398642
34,0.7797339
35,0.49167615
36,0.45480144
37,0.33593637
38,0.55904764
39,0.44152734
40,0.4351244
41,0.39058885
42,0.28806353
43,0.19199768
44,0.1773605
45,0.18518668
46,0.18353394
47,0.16923021
48,0.15708864
49,0.1669513
50,0.086511515
51,0.05870622
52,0.08304955
53,0.08997031
54,0.08118785
55,0.069663994
56,0.06848933
57,0.051795118
58,0.0408926
59,0.053276464
60,0.066212736
61,0.07187041
62,0.07505713
63,0.06277977
64,0.08781969
65,0.14514723
66,0.19889171
67,0.19555926
68,0.1376669
69,0.08414217
70,0.07992284
71,0.10990659
72,0.11129654
73,0.10749167
74,0.10983703
75,0.10758795
76,0.09609838
77,0.09271866
78,0.10823543
79,0.2124475
80,0.19660899
81,0.17330898
82,0.11932242
83,0.09398403
84,0.092820935
85,0.10394677
86,0.111880876
87,0.11153414
88,0.11651115
89,0.10522718
90,0.10528527
91,0.10131292
92,0.09919337
93,0.083161876
94,0.075672604
95,0.07318822
96,0.0672491
97,0.057807192
98,0.05389158
99,0.055473153
100,0.053629242
101,0.05307395
102,0.055920776
103,0.05632486
104,0.056039196
105,0.056217432
106,0.05933182
107,0.052036434
108,0.054132618
109,0.046066847
110,0.0496086
111,0.05395722
112,0.059598565
113,0.061820645
114,0.07234974
115,0.07727722
116,0.087442264
117,0.08549739
118,0.082281396
119,0.074318975
120,0.0770341
121,0.07174157
122,0.060238358
123,0.061428368
124,0.07724826
125,0.06932014
126,0.046872944
127,0.037008878
128,0.036945116
129,0.040642742
130,0.038386762
131,0.05020976
132,0.05129749
133,0.050610654
134,0.04448566
135,0.040197916
136,0.045615066
137,0.044619203
138,0.049474996
139,0.05812681
140,0.05454092
141,0.058142956
142,0.056652963
143,0.05917475
144,0.055763487
145,0.0548838
146,0.047214612
147,0.0473907
148,0.043784138
149,0.0350214
150,0.027058814
151,0.028133102
152,0.029066648
153,0.02483375
154,0.025958098
155,0.027115526
156,0.024205746
157,0.021260427
158,0.025992518
159,0.026465692
160,0.034462277
161,0.03146638
162,0.025287256
163,0.025831372
164,0.028443003
165,0.027153526
166,0.030622648
167,0.03770238
168,0.03446303
169,0.03036004
170,0.023337545
171,0.027462529
172,0.033911373
173,0.026088549
174,0.036128793
175,0.0441988
176,0.07280829
177,0.091438375
178,0.1169247
179,0.107311994
180,0.11255996
181,0.098348066
182,0.09713418
183,0.087312885
184,0.09323026
185,0.096396334
186,0.113465115
187,0.13719375
188,0.16575547
189,0.2180121
190,0.37022305
191,0.55642706
192,0.5738088
193,0.46296757
194,0.8022131
195,3.5782
196,0.4606724
197,0.3554398
198,0.484732
199,0.49280885
200,0.4553942
201,0.4802484
202,0.41887417
203,0.43621483
204,0.36720333
205,0.39983648
206,0.5495469
207,0.6466589
208,0.43287924
209,0.32110217
210,0.3199365
211,0.38468888
212,0.38623753
213,0.30821198
214,0.50571644
215,0.5837914
216,0.4842123
217,0.34162107
218,0.46980947
219,0.51793724
220,0.4824077
221,0.47927073
222,0.4011467
223,0.3749174
224,0.2707227
225,0.15726385
226,0.19642176
227,0.26983675
228,0.2734385
229,0.25317416
230,0.21011868
231,0.19888273
232,0.1982164
233,0.19331549
234,0.19395807
235,0.33897603
236,0.42729726
237,0.36989784
238,0.61666536
239,0.5226837
240,0.41460016
241,0.3802023
242,0.39028776
243,0.35713747
244,0.36490494
245,0.38590163
246,0.39832264
247,0.37502903
248,0.3423901
249,0.4299428
250,0.48621345
251,0.56143147
252,0.6870973
253,0.48871174
254,3.5327978
255,0.7137701
256,0.29347378
257,0.27240485
258,0.3348735
259,0.3343188
260,0.305145
261,0.2883066
262,0.29578942
263,0.43645772
264,0.26184475
265,0.31801707
266,0.4283883
267,0.5864414
268,0.52724224
269,0.44821832
270,0.42517835
271,0.40423602
272,0.4468781
273,0.6633379
274,0.73849076
275,1.1731735
276,0.5548823
277,0.5495845
278,0.4457833
279,0.56518656
280,0.7410407
281,1.2370852
282,0.6901398
283,3.2238693
284,0.4972078
285,0.40090743
286,0.28633782
287,0.2444787
288,0.27380094
289,0.2585065
290,0.21993768
291,0.18623784
292,0.18017381
293,0.17555441
294,0.21350692
295,0.1587049
296,0.16321555
297,0.14754145
298,0.13244386
299,0.12533522
300,0.10770541
301,0.09631407
302,0.09251483
303,0.0844383
304,0.093605846
305,0.09874361
306,0.106019504
307,0.19795963
308,0.32912716
309,0.46222097
310,0.29413757
311,0.2764713
312,0.41838387
313,0.5842614
314,0.83358455
315,1.0706402
316,0.678531
317,0.7823677
318,0.49891135
319,0.47674346
320,0.66518176
321,0.98019016
322,1.0094676
323,1.0928963
324,1.0275217
325,0.9030835
326,1.6790861
327,2.0393581
328,1.1798356
329,0.5199289
330,1.2464993
331,0.51172674
332,0.32608446
333,0.53543633
334,0.27378896
335,0.43432215
336,0.63624185
337,0.39894828
338,0.63275135
339,0.23386447
340,0.21022023
341,0.25077042
342,0.24151105
343,0.19028981
344,0.15130939
345,0.122223765
346,0.10056455
347,0.13891935
348,0.21828207
349,0.27451968
350,0.3033229
351,0.2681861
352,0.24913317
353,0.2806151
354,0.43857557
355,0.5791939
356,0.5511022
357,0.44889516
358,0.26506403
359,0.3430607
360,0.5219492
361,0.6288652
362,0.84793645
363,0.46899065
364,0.4467463
365,0.54929394
366,0.71080065
367,0.7881419
368,0.9847297
369,1.0046935
370,0.8392334
371,1.7162114
372,2.0433302
373,1.2632537
374,1.3606601
375,0.69564736
376,0.7129876
377,0.5307655
378,0.34842417
379,0.41992012
380,0.7539079
381,1.4759374
382,0.5127327
383,0.50296015
384,0.652853
385,0.8086293
386,0.58848876
387,0.5117394
388,0.46820042
389,0.44765794
390,0.43888113
391,0.3594671
392,0.38356614
393,0.39711344
394,0.48909804
395,0.2727861
396,0.29536882
397,0.2407218
398,0.6236126
399,0.37548086
400,0.41281277
401,0.7722572
402,0.4794666
403,0.5290873
404,0.90053463
405,0.39729008
406,0.4250997
407,0.62759465
408,0.9595406
409,1.5165536
410,1.0690521
411,0.566715
412,0.44202405
413,0.527603
414,0.71949995
415,0.47709134
416,0.44565335
417,0.39163324
418,0.39870352
419,1.3158424
420,0.5791468
421,0.50293225
422,0.38708663
423,0.30210343
424,0.46925992
425,0.6559036
426,0.7938218
427,0.88608027
428,0.8718074
429,0.8120894
430,0.73703283
431,0.5580475
432,0.44775406
433,0.37922946
434,0.36073098
435,0.3415128
436,0.41598594
437,0.48852754
438,0.55232155
439,0.4053577
440,0.38263676
441,0.36785176
442,0.33217925
443,0.36399093
444,0.4503058
445,0.5220003
446,0.5667523
447,0.46270293
448,0.37369406
449,0.34066567
450,0.4979105
451,0.74149114
452,1.0250537
453,6.7885
454,11.076052
455,7.0470643
456,2.2678268
457,2.2952106
458,8.763107
459,1.8428355
460,2.020374
461,1.4854051
462,1.9033583
463,10.218769
464,6.527333
465,4.865664
466,2.2033896
467,1.9089855
468,0.7752131
469,1.6571416
470,1.0370089
471,1.0957177
472,1.3178462
473,0.59781355
474,0.76031
475,0.8852705
476,0.7536155
477,0.67587817
478,0.50390005
479,0.6517183
480,0.36066273
481,0.41138953
482,0.48978162
483,0.47239363
484,0.37551168
485,0.28898284
486,0.25779894
487,0.25912613
488,0.31979364
489,0.40558165
490,0.508058
491,0.52458763
492,0.47666702
493,0.36129817
494,0.2894794
495,0.50335515
496,0.63802904
497,0.66392976
498,0.646096
499,0.7729365
500,0.688862
501,0.64015967
502,0.6167122
503,0.5460804
504,0.482716
505,0.3766648
506,0.29026532
507,0.25882754
508,0.2652287
509,0.284992
510,0.301465
511,0.26468974
512,0.21523826
513,0.18497172
514,0.22254455
515,0.34695822
516,0.5718124
517,0.81170714
518,0.9070677
519,0.9280837
520,0.7243779
521,0.62715673
522,0.85130215
523,1.275687
524,2.1783807
525,7.1825805
526,11.522125
527,9.107007
528,3.7365077
529,2.986057
530,2.2900405
531,8.246174
532,11.058676
533,2.3776085
534,0.8201145
535,1.0335861
536,3.3856177
537,1.9259715
538,1.396675
539,1.7217908
540,10.985614
541,6.3271766
542,4.658271
543,2.0952597
544,1.987968
545,0.5654707
546,0.51395875
547,0.42964932
548,0.4808916
549,0.51061785
550,0.4957082
551,0.4167001
552,0.3862672
553,0.33780426
554,0.54328
555,0.7647894
556,0.9174353
557,0.7312832
558,0.7164099
559,0.45744893
560,0.36514437
561,0.3817825
562,0.5659704
563,0.37880957
564,0.41153526
565,0.413489
566,0.39777234
567,0.3332614
568,0.29360086
569,0.27215695
570,0.2914728
571,0.31604615
572,0.422507
573,0.300733
574,0.27281803
575,0.2689905
576,0.45175123
577,0.48286092
578,0.39273554
579,0.4566486
580,0.5463962
581,0.58605224
582,0.48197898
583,0.4907365
584,0.5608374
585,0.6036514
586,0.583526
587,0.5166633
588,0.3939144
589,0.30843198
590,0.26710477
591,0.26434737
592,0.20859784
593,0.18490277
594,0.16261134
595,0.18599878
596,0.28900152
597,0.4757228
598,0.6597822
599,0.66767406
600,0.77093303
601,0.7518251
602,0.8429542
603,0.9002473
604,1.1917537
605,1.6623071
606,2.2984574
607,3.6935842
608,5.7106433
609,1.1317034
610,1.1803999
611,1.1445326
612,1.1156456
613,1.0640048
614,0.939113
615,0.69316113
616,0.52515817
617,0.4363032
618,0.40555087
619,0.38496593
620,0.33914325
621,0.38159922
622,0.45783606
623,0.5626702
624,0.56492734
625,0.45288232
626,0.31729662
627,0.24230099
628,0.29398763
629,0.371504
630,0.4762844
631,0.57917625
632,0.67625153
633,1.3692532
634,0.6604063
635,0.64826316
636,0.6445736
637,1.0798186
638,0.39252242
639,0.35227993
640,0.4189274
641,4.4646926
642,0.8070536
643,0.7156662
644,1.4236512
645,3.7933905
646,0.6026534
647,0.57660586
648,0.54971033
649,0.43349373
650,0.33706066
651,0.29885486
652,0.37302193
653,0.36042705
654,0.37925917
655,0.36877555
656,0.32334194
657,0.25571436
658,0.20200996
659,0.18547058
660,0.30430079
661,0.7003579
662,0.5774485
663,0.26022112
664,0.39314032
665,0.27251637
666,5.4057803
667,0.32662588
668,0.34226525
669,0.379284
670,0.60228395
671,0.6351308
672,0.6337373
673,0.5816576
674,0.6121107
675,0.62338173
676,0.59147936
677,0.5018743
678,0.4095587
679,0.3152739
680,0.24561134
681,0.22943424
682,0.32166988
683,0.1969286
684,0.16374007
685,0.16791031
686,0.1793541
687,0.2070767
688,0.21806718
689,0.21975636
690,0.28562662
691,0.30601558
692,0.4515832
693,0.61985105
694,0.8636079
695,1.1574016
696,1.6540823
697,3.4470468
698,5.94787
699,3.9201686
700,2.311306
701,1.1804965
702,1.0754873
703,1.1135703
704,1.1478112
705,12.794914
706,1.1679991
707,1.2834347
708,1.2579097
709,1.0930704
710,1.080982
711,1.0467759
712,1.059353
713,1.1972291
714,1.3043132
715,4.6301003
716,0.95507103
717,0.77997714
718,0.6647397
719,0.62691516
720,0.60269743
721,0.53763825
722,0.5388892
723,0.5203501
724,0.54900175
725,0.6523921
